Reference, Quantity, Value, Footprint, Datasheet
C15 C13 C14 C16 ,4,"10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C17 C18 ,2,"18p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C2 C3 C4 C5 C6 C8 C9 C10 C1 C19 C11 C12 C7 ,13,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
D1 ,1,"1V8_On","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D2 ,1,"3V3_On","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
H1 H2 H3 H4 ,4,"MountingHole","GAPH-Extra:MountingHole_2.5mm","~"
J1 ,1,"H3","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~"
J2 ,1,"USB-UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
J3 ,1,"H2","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~"
J4 ,1,"H1","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
J5 ,1,"PWR","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
J6 ,1,"DL","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
J7 ,1,"H4","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
JP1 ,1,"SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP2 ,1,"T.SE","Jumper:SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm","~"
JP3 ,1,"T.TM","Jumper:SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm","~"
Q1 Q2 ,2,"Q_NPN_BCE","Package_TO_SOT_SMD:SOT-23","~"
R1 R2 ,2,"330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R3 ,1,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R4 ,1,"1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R5 R6 ,2,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
SW1 ,1,"RESET","Button_Switch_THT:SW_PUSH_6mm","~"
U1 ,1,"ASSoC","GAPH-Chips:PLCC-68_THT-Socket",""
U2 ,1,"LM1117-1.8","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
U3 ,1,"LM1117-3.3","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
Y1 ,1,"25 MHz","Crystal:Crystal_HC49-4H_Vertical","~"